_date,total_views,unique_views
2024-07-25,15,6
2024-07-26,15,8
2024-07-27,1,1
2024-07-28,2,2
2024-07-29,3,3
2024-07-30,7,5
2024-07-31,3,2
2024-08-01,5,2
2024-08-02,1,1
2024-08-04,11,1
2024-08-05,3,2
2024-08-06,12,7
2024-08-07,20,7
2024-08-08,22,7
2024-08-09,52,9
2024-08-10,5,2
2024-08-12,12,3
2024-08-13,38,6
2024-08-14,4,1
2024-08-15,1,1
2024-08-16,2,2
2024-08-19,31,8
2024-08-20,21,6
2024-08-21,6,5
2024-08-22,38,8
2024-08-23,90,12
2024-08-24,4,3
2024-08-25,1,1
2024-08-26,8,6
2024-08-27,26,8
2024-08-28,41,10
2024-08-29,11,4
2024-08-30,10,4
2024-08-31,1,1
2024-09-01,1,1
